ID,Country,Crew,Vehicle,Date,Duration,Purpose
372,China,Zhai Zhigang  Liu Boming,Shenzhou 7,09/28/2008,0:22,
376,Russia,Oleg Kotov  Sergei Ryazanski,ISS Incr-37,11/09/2013,5:50,
377,USA,Rick Mastracchio  Mike Hopkins,ISS Incr-38,12/21/2013,5:28,
378,USA,Rick Mastracchio  Mike Hopkins,ISS Incr-38,12/24/2013,7:30,
379,Russia,Oleg Kotov  Sergei Ryazanski,ISS Incr-38,12/27/2013,8:07,
380,Russia,Oleg Kotov  Sergei Ryazanski,ISS Incr-38,01/27/2014,6:08,
381,USA,Rick Mastracchio  Steve Swanson,ISS Incr-39,04/23/2014,1:36,
382,Russia,Alexander Skvortsov  Oleg Artemyev,ISS Incr-40,06/19/2014,7:23,
383,Russia,Alexander Skvortsov  Oleg Artemyev,ISS Incr-40,08/18/2014,5:11,
384,USA,Reid Wiseman  Alexander Gerst,ISS Incr-41,10/07/2014,6:13,
385,USA,Reid Wiseman  Barry Wilmore,ISS Incr-41,10/15/2014,6:34,
386,Russia,Maksim Surayev  Aleksandr Samokutyayev,ISS Incr-41,10/22/2014,3:38,
387,USA,Barry Wilmore  Terry Virts,ISS Incr-42,02/21/2015,6:41,
388,USA,Barry Wilmore  Terry Virst,ISS Incr-42,02/25/2015,6:43,
389,USA,Terry Virts  Barry Wilmore,ISS Incr-42,03/01/2015,5:38,
390,Russia,Gennady Padalka  Mikhail Korniyenko,ISS Incr-44,08/10/2015,5:31,


